Time Stamp,First Sample Time,Accel-x,Accel-y,Accel-z,Gyro-x,Gyro-y,Gyro-z
1774979005.529679,755000.0,-2455,-212,-16290,88,143,53
1774979005.529679,755000.0,-2472,-191,-16241,54,51,60
1774979005.529679,755000.0,-2519,-171,-16160,42,-22,67
1774979005.529679,755000.0,-2521,-215,-16142,17,20,60
1774979005.529679,755000.0,-2522,-188,-16175,-8,-38,85
1774979005.529679,755000.0,-2555,-159,-16165,-21,-47,80
1774979005.529679,755000.0,-2551,-152,-16139,4,-32,81
1774979005.529679,755000.0,-2569,-180,-16099,44,25,44
1774979005.529679,755000.0,-2569,-173,-16107,40,65,69
1774979005.529679,755000.0,-2548,-157,-16121,63,95,73
1774979005.529679,755000.0,-2543,-162,-16133,68,133,52
1774979005.529679,755000.0,-2542,-165,-16110,115,191,51
1774979005.529679,755000.0,-2522,-171,-16176,110,188,33
1774979005.529679,755000.0,-2496,-193,-16245,60,144,48
1774979005.529679,755000.0,-2509,-157,-16159,82,108,26
1774979005.529679,755000.0,-2522,-182,-16120,65,102,60
1774979005.529679,755000.0,-2500,-175,-16078,79,153,58
1774979005.529679,755000.0,-2499,-213,-15940,33,251,52
1774979005.529679,755000.0,-2511,-185,-16422,66,256,52
1774979005.529679,755000.0,-2448,-155,-16229,59,172,58
1774979005.53071,755200.0,-2534,-195,-15906,72,174,60
1774979005.53071,755200.0,-2526,-196,-16221,37,241,42
1774979005.53071,755200.0,-2532,-168,-16350,49,174,35
1774979005.53071,755200.0,-2583,-146,-15988,71,196,70
1774979005.53071,755200.0,-2457,-296,-16260,103,244,42
1774979005.53071,755200.0,-2573,-137,-16228,160,247,30
1774979005.53071,755200.0,-2553,-244,-16216,116,222,82
1774979005.53071,755200.0,-2577,-218,-16116,49,164,57
1774979005.53071,755200.0,-2537,-147,-16079,59,202,38
1774979005.53071,755200.0,-2493,-200,-16254,56,218,65
1774979005.53071,755200.0,-2497,-180,-16178,2,152,65
1774979005.53071,755200.0,-2428,-132,-15823,-25,62,56
1774979005.53071,755200.0,-2568,-347,-15750,-101,134,95
1774979005.53071,755200.0,-2721,-131,-16650,-229,277,107
1774979005.53071,755200.0,-2534,-70,-16501,-39,210,68
1774979005.53071,755200.0,-2472,-81,-16133,262,231,45
