Time Stamp,First Sample Time,Accel-x,Accel-y,Accel-z,Gyro-x,Gyro-y,Gyro-z
1774977580.3333812,4910.0,-2034,168,-15955,32514,-32768,-32768
1774977580.3333812,4910.0,-2053,158,-15957,32514,-32768,-32768
1774977580.3333812,4910.0,-2063,171,-15982,23,-20,-55
1774977580.3333812,4910.0,-2053,173,-16025,9,-6,-62
1774977580.3333812,4910.0,-2051,172,-16039,-4,5,-48
1774977580.3333812,4910.0,-2032,151,-15972,5,-21,-33
1774977580.3333812,4910.0,-2051,177,-16025,34,24,-30
1774977580.3333812,4910.0,-2073,175,-16022,30,-13,-55
1774977580.3333812,4910.0,-2036,188,-15982,8,24,-42
1774977580.3333812,4910.0,-2046,175,-15947,8,-20,-47
1774977580.3333812,4910.0,-2054,160,-15994,-2,6,-29
1774977580.3333812,4910.0,-2065,191,-16017,5,-17,-16
1774977580.3333812,4910.0,-2042,196,-15982,18,7,-46
1774977580.3333812,4910.0,-2032,139,-16021,4,-3,-54
1774977580.3333812,4910.0,-2061,175,-16021,10,-23,-48
1774977580.3333812,4910.0,-2073,179,-16044,6,-14,-54
1774977580.3333812,4910.0,-2044,199,-15985,15,18,-50
1774977580.3333812,4910.0,-2024,201,-15946,8,4,-33
1774977580.3333812,4910.0,-2033,175,-15985,13,-27,-44
1774977580.3333812,4910.0,-2059,181,-16030,-1,2,-53
1774977580.3347049,5110.0,-2052,185,-15959,24,10,-36
1774977580.3347049,5110.0,-2066,203,-15997,7,-21,-60
1774977580.3347049,5110.0,-2060,197,-16033,16,-18,-47
1774977580.3347049,5110.0,-2065,196,-16024,7,-17,-47
1774977580.3347049,5110.0,-2052,183,-15998,10,-2,-37
1774977580.3347049,5110.0,-2042,188,-15997,4,-11,-39
1774977580.3347049,5110.0,-2040,202,-15975,-10,-29,-52
1774977580.3347049,5110.0,-2030,166,-15970,13,-21,-41
1774977580.3347049,5110.0,-2032,183,-15985,5,-21,-45
1774977580.3347049,5110.0,-2038,185,-15969,20,1,-41
1774977580.3347049,5110.0,-2060,178,-16020,4,-26,-30
1774977580.3347049,5110.0,-2085,160,-16014,11,3,-43
1774977580.3347049,5110.0,-2060,191,-16005,12,6,-47
1774977580.3347049,5110.0,-2030,150,-15987,22,-40,-47
1774977580.3347049,5110.0,-2055,165,-15999,11,-22,-33
1774977580.3347049,5110.0,-2045,153,-15957,9,-10,-60
1774977580.3347049,5110.0,-2015,162,-15951,10,-10,-29
1774977580.3347049,5110.0,-2037,162,-15951,22,-29,-50
1774977580.3347049,5110.0,-2059,165,-15993,2,-16,-24
1774977580.3347049,5110.0,-2070,183,-16013,22,-21,-22
1774977580.34363,5310.0,-2070,167,-16000,25,-37,-30
1774977580.34363,5310.0,-2059,196,-15996,14,-30,-41
1774977580.34363,5310.0,-2038,196,-16037,7,-22,-21
1774977580.34363,5310.0,-2044,179,-15989,24,-42,-50
1774977580.34363,5310.0,-2029,174,-15946,24,-15,-70
1774977580.34363,5310.0,-2039,209,-15940,10,0,-46
1774977580.34363,5310.0,-2054,181,-15992,-3,-11,-45
1774977580.34363,5310.0,-2047,217,-15992,-4,-23,-35
1774977580.34363,5310.0,-2036,195,-16007,-3,-2,-32
1774977580.34363,5310.0,-2020,200,-16006,5,-8,-21
1774977580.34363,5310.0,-2068,191,-16070,19,-9,-61
1774977580.34363,5310.0,-2060,179,-16024,17,-22,-69
1774977580.34363,5310.0,-2053,188,-15987,7,-33,-49
1774977580.34363,5310.0,-2038,212,-15947,19,-11,-46
1774977580.34363,5310.0,-2039,178,-15967,19,-19,-26
1774977580.34363,5310.0,-2045,164,-15992,10,-10,-39
1774977580.34363,5310.0,-2051,191,-15976,7,-11,-34
1774977580.34363,5310.0,-2040,189,-16020,7,5,-35
1774977580.34363,5310.0,-2082,164,-16043,11,-21,-14
1774977580.34363,5310.0,-2044,180,-16019,27,-22,-48
1774977580.3518689,5510.0,-2036,191,-15992,9,-3,-23
1774977580.3518689,5510.0,-2056,145,-15998,39,-16,-66
1774977580.3518689,5510.0,-2054,161,-15957,18,5,-56
1774977580.3518689,5510.0,-2048,170,-15947,10,-28,-31
1774977580.3518689,5510.0,-2030,153,-15955,14,-4,-50
1774977580.3518689,5510.0,-2067,188,-15947,16,0,-26
1774977580.3518689,5510.0,-2059,197,-16058,-2,-19,-21
1774977580.3518689,5510.0,-2032,168,-16048,-11,-4,-34
1774977580.3518689,5510.0,-2048,164,-15981,24,-8,-37
1774977580.3518689,5510.0,-2056,166,-16016,13,-2,-33
1774977580.3518689,5510.0,-2030,180,-15980,12,-6,-36
1774977580.3518689,5510.0,-2039,168,-15967,14,-23,-56
1774977580.3518689,5510.0,-2010,190,-15943,28,-11,-49
1774977580.3518689,5510.0,-2044,213,-15983,8,-12,-42
1774977580.3518689,5510.0,-2046,167,-16017,13,-2,-22
1774977580.3518689,5510.0,-2038,207,-16002,34,-17,-34
1774977580.3518689,5510.0,-2064,188,-15999,19,-23,-32
1774977580.3518689,5510.0,-2042,190,-16013,13,-12,-39
1774977580.3518689,5510.0,-2065,189,-16005,8,-1,-52
1774977580.3518689,5510.0,-2029,190,-15956,19,-8,-44
1774977580.36463,5710.0,-2035,174,-15989,-7,-35,-40
1774977580.36463,5710.0,-2037,188,-15980,9,-13,-34
1774977580.36463,5710.0,-2034,156,-15988,15,-8,-43
1774977580.36463,5710.0,-2024,164,-15984,23,-7,-44
1774977580.36463,5710.0,-2015,186,-15999,-4,-14,-42
1774977580.36463,5710.0,-2085,167,-16059,1,-17,-68
1774977580.36463,5710.0,-2065,182,-16006,18,-3,-40
1774977580.36463,5710.0,-2060,161,-16028,3,-6,-48
1774977580.36463,5710.0,-2067,159,-15951,21,-16,-30
1774977580.36463,5710.0,-2042,184,-15983,29,-4,-66
1774977580.36463,5710.0,-2056,159,-15932,15,10,-31
1774977580.36463,5710.0,-2050,164,-15987,-6,-1,-50
1774977580.36463,5710.0,-2045,159,-15958,6,-33,-41
1774977580.36463,5710.0,-2070,161,-16022,2,-12,-39
1774977580.36463,5710.0,-2057,155,-16011,21,6,-23
1774977580.36463,5710.0,-2043,173,-16031,20,-32,-27
1774977580.36463,5710.0,-2025,176,-16018,14,-15,-43
1774977580.36463,5710.0,-2057,176,-15965,37,-16,-17
1774977580.36463,5710.0,-2047,153,-15961,9,-11,-38
1774977580.36463,5710.0,-2034,193,-15956,0,-30,-47
1774977580.393687,5910.0,-2051,185,-15999,-6,6,-38
1774977580.393687,5910.0,-2055,197,-15991,21,-29,-47
1774977580.393687,5910.0,-2033,187,-15999,9,11,-33
1774977580.393687,5910.0,-2029,169,-16028,17,1,-40
1774977580.393687,5910.0,-2051,187,-16031,15,-17,-31
1774977580.393687,5910.0,-2032,191,-16000,24,-10,-29
1774977580.393687,5910.0,-2036,173,-15973,24,5,-67
1774977580.393687,5910.0,-2034,184,-15967,22,-7,-36
1774977580.393687,5910.0,-2042,173,-16003,14,-31,-31
1774977580.393687,5910.0,-2033,181,-15989,22,1,-39
1774977580.393687,5910.0,-2050,178,-15978,12,-25,-47
1774977580.393687,5910.0,-2058,208,-16052,-2,-32,-52
1774977580.393687,5910.0,-2025,171,-16008,10,0,-64
1774977580.393687,5910.0,-2045,173,-16015,34,2,-53
1774977580.393687,5910.0,-2040,170,-15998,11,-2,-37
1774977580.393687,5910.0,-2041,169,-15964,18,13,-58
1774977580.393687,5910.0,-2030,164,-15959,26,3,-45
1774977580.393687,5910.0,-2042,157,-15987,23,-31,-43
1774977580.393687,5910.0,-2035,187,-15961,12,5,-30
1774977580.393687,5910.0,-2046,184,-16009,13,4,-42
1774977580.3955488,6110.0,-2071,174,-16024,-12,-15,-46
1774977580.3955488,6110.0,-2058,153,-16042,1,-30,-46
1774977580.3955488,6110.0,-2034,178,-16030,24,26,-35
1774977580.3955488,6110.0,-2057,141,-16002,6,-7,-57
1774977580.3955488,6110.0,-2042,191,-15980,0,9,-23
1774977580.3955488,6110.0,-2049,188,-15986,11,-6,-57
1774977580.3955488,6110.0,-2050,185,-15979,20,3,-25
1774977580.3955488,6110.0,-2060,170,-16001,24,22,-30
1774977580.3955488,6110.0,-2041,173,-16010,2,-9,-25
1774977580.3955488,6110.0,-2033,189,-16023,7,-30,-38
1774977580.3955488,6110.0,-2041,178,-16031,4,-43,-40
1774977580.3955488,6110.0,-2029,208,-15988,-3,-13,-39
1774977580.3955488,6110.0,-2045,169,-16019,25,11,-47
1774977580.3955488,6110.0,-2047,185,-15984,19,5,-54
1774977580.3955488,6110.0,-2010,182,-15972,24,19,-53
1774977580.3955488,6110.0,-2017,179,-15946,25,-10,-44
1774977580.3955488,6110.0,-2050,170,-15991,36,3,-37
1774977580.3955488,6110.0,-2033,171,-16011,14,-8,-50
1774977580.3955488,6110.0,-2036,203,-16003,14,-38,-40
1774977580.3955488,6110.0,-2056,149,-16028,9,3,-51
1774977581.71407,6310.0,-2037,149,-16031,-5,6,-44
1774977581.71407,6310.0,-2035,164,-16030,5,-12,-48
1774977581.71407,6310.0,-2057,158,-15961,21,-5,-44
1774977581.71407,6310.0,-2074,155,-15966,18,8,-34
1774977581.71407,6310.0,-2053,170,-15947,7,-4,-19
1774977581.71407,6310.0,-2074,181,-15995,4,-6,-21
1774977581.71407,6310.0,-2051,154,-15945,21,-21,-43
1774977581.71407,6310.0,-2042,157,-16017,1,-18,-43
1774977581.71407,6310.0,-2020,187,-16013,18,-37,-33
1774977581.71407,6310.0,-2036,168,-16038,4,-17,-42
1774977581.71407,6310.0,-2008,194,-16013,-1,-14,-44
1774977581.71407,6310.0,-2018,192,-15961,-2,-20,-49
1774977581.71407,6310.0,-2031,174,-15973,9,-13,-47
1774977581.71407,6310.0,-2030,212,-15977,2,-15,-56
1774977581.71407,6310.0,-1993,196,-15967,17,-10,-24
1774977581.71407,6310.0,-2033,203,-15978,12,-19,-46
1774977581.71407,6310.0,-2032,173,-16022,3,-6,-55
1774977581.71407,6310.0,-2076,190,-16042,18,-8,-40
1774977581.71407,6310.0,-2097,200,-16015,21,13,-40
1774977581.71407,6310.0,-2068,191,-15942,10,7,-61
1774977581.716697,6510.0,-2057,146,-15993,5,-14,-60
1774977581.716697,6510.0,-2019,169,-15998,8,4,-46
1774977581.716697,6510.0,-2027,180,-15957,14,-9,-20
