Time Stamp,First Sample Time,Accel-x,Accel-y,Accel-z,Gyro-x,Gyro-y,Gyro-z
1775067141.755782,3243400.0,-2579,-485,-16136,52,92,49
1775067141.755782,3243400.0,-2610,-509,-16125,67,102,57
1775067141.755782,3243400.0,-2584,-494,-16110,66,122,64
1775067141.755782,3243400.0,-2627,-486,-16107,77,99,52
1775067141.755782,3243400.0,-2605,-498,-16099,61,124,57
1775067141.755782,3243400.0,-2570,-498,-16108,33,103,75
1775067141.755782,3243400.0,-2593,-494,-16158,58,111,59
1775067141.755782,3243400.0,-2595,-489,-16114,44,98,64
1775067141.755782,3243400.0,-2572,-504,-16133,52,98,65
1775067141.755782,3243400.0,-2605,-469,-16189,51,99,57
1775067141.755782,3243400.0,-2611,-475,-16085,37,117,61
1775067141.755782,3243400.0,-2578,-491,-16114,71,103,59
1775067141.755782,3243400.0,-2585,-509,-16158,57,103,71
1775067141.755782,3243400.0,-2599,-473,-16121,49,92,63
1775067141.755782,3243400.0,-2574,-490,-16116,28,119,53
1775067141.755782,3243400.0,-2623,-497,-16068,73,105,59
1775067141.755782,3243400.0,-2600,-494,-16132,70,122,71
1775067141.755782,3243400.0,-2608,-500,-16119,65,109,73
1775067141.755782,3243400.0,-2601,-491,-16139,64,113,78
1775067141.755782,3243400.0,-2593,-490,-16141,35,93,57
1775067141.756314,3243600.0,-2597,-485,-16080,29,72,72
1775067141.756314,3243600.0,-2496,-532,-16002,31,84,62
1775067141.756314,3243600.0,-2626,-486,-16176,55,51,64
1775067141.756314,3243600.0,-2626,-487,-16187,46,92,63
1775067141.756314,3243600.0,-2620,-488,-16175,74,107,70
1775067141.756314,3243600.0,-2619,-507,-16198,91,139,71
1775067141.756314,3243600.0,-2611,-480,-16123,102,159,61
1775067141.756314,3243600.0,-2608,-492,-16076,99,161,59
1775067141.756314,3243600.0,-2611,-487,-16100,101,131,54
1775067141.756314,3243600.0,-2551,-488,-16052,78,105,58
1775067141.756314,3243600.0,-2592,-477,-16128,83,131,46
1775067141.756314,3243600.0,-2605,-502,-16141,105,115,46
1775067141.756314,3243600.0,-2555,-496,-16112,88,125,45
1775067141.756314,3243600.0,-2558,-484,-16121,68,124,57
1775067141.756314,3243600.0,-2586,-483,-16146,69,117,68
1775067141.756314,3243600.0,-2586,-503,-16130,86,118,58
1775067141.756314,3243600.0,-2592,-499,-16096,100,117,58
1775067141.756314,3243600.0,-2590,-500,-16048,82,126,83
1775067141.756314,3243600.0,-2580,-509,-16106,105,167,48
1775067141.756314,3243600.0,-2618,-501,-16155,58,114,83
1775067141.758324,3243800.0,-2622,-511,-16116,81,115,45
1775067141.758324,3243800.0,-2624,-509,-16135,69,110,79
1775067141.758324,3243800.0,-2622,-480,-16107,78,86,62
1775067141.758324,3243800.0,-2594,-500,-16138,65,109,63
1775067141.758324,3243800.0,-2602,-504,-16148,72,113,74
1775067141.758324,3243800.0,-2580,-496,-16131,65,93,59
1775067141.758324,3243800.0,-2601,-528,-16152,71,98,59
1775067141.758324,3243800.0,-2566,-520,-16141,87,125,53
1775067141.758324,3243800.0,-2549,-499,-16085,55,139,67
1775067141.758324,3243800.0,-2552,-487,-16123,71,106,68
1775067141.758324,3243800.0,-2558,-494,-16195,82,118,57
1775067141.758324,3243800.0,-2579,-489,-16143,79,79,55
1775067141.758324,3243800.0,-2614,-470,-16140,76,115,53
1775067141.758324,3243800.0,-2597,-494,-16096,89,121,57
1775067141.758324,3243800.0,-2611,-495,-16105,80,126,48
1775067141.758324,3243800.0,-2625,-505,-16111,86,115,64
1775067141.758324,3243800.0,-2630,-498,-16172,79,113,61
1775067141.758324,3243800.0,-2612,-506,-16091,32,102,58
1775067141.758324,3243800.0,-2594,-507,-16077,62,117,67
1775067141.758324,3243800.0,-2579,-494,-16117,64,89,68
1775067141.7692978,3244000.0,-2600,-489,-16151,70,113,75
1775067141.7692978,3244000.0,-2597,-508,-16136,61,110,50
1775067141.7692978,3244000.0,-2579,-479,-16150,95,93,56
1775067141.7692978,3244000.0,-2561,-471,-16108,68,140,68
1775067141.7692978,3244000.0,-2541,-459,-16111,60,97,68
1775067141.7692978,3244000.0,-2584,-480,-16096,77,124,46
1775067141.7692978,3244000.0,-2577,-491,-16155,86,117,56
1775067141.7692978,3244000.0,-2600,-503,-16152,80,116,65
1775067141.7692978,3244000.0,-2606,-513,-16125,81,110,54
1775067141.7692978,3244000.0,-2599,-514,-16091,64,122,82
1775067141.7692978,3244000.0,-2620,-494,-16108,56,125,50
1775067141.7692978,3244000.0,-2627,-488,-16145,89,113,57
1775067141.7692978,3244000.0,-2623,-475,-16189,63,92,46
1775067141.7692978,3244000.0,-2595,-460,-16123,69,106,51
1775067141.7692978,3244000.0,-2589,-487,-16092,55,100,53
1775067141.7692978,3244000.0,-2606,-478,-16087,78,107,71
1775067141.7692978,3244000.0,-2584,-453,-16134,76,113,46
1775067141.7692978,3244000.0,-2574,-475,-16148,96,110,62
1775067141.7692978,3244000.0,-2584,-492,-16148,89,96,58
1775067141.7692978,3244000.0,-2621,-508,-16121,62,111,55
1775067141.7704058,3244200.0,-2602,-484,-16080,80,102,67
1775067141.7704058,3244200.0,-2599,-477,-16088,76,107,59
1775067141.7704058,3244200.0,-2597,-488,-16123,73,123,53
1775067141.7704058,3244200.0,-2602,-513,-16140,64,128,63
1775067141.7704058,3244200.0,-2598,-478,-16153,59,122,42
1775067141.7704058,3244200.0,-2583,-491,-16112,73,102,58
1775067141.7704058,3244200.0,-2566,-480,-16093,67,106,55
1775067141.7704058,3244200.0,-2597,-487,-16093,65,98,55
1775067141.7704058,3244200.0,-2596,-491,-16150,68,85,70
1775067141.7704058,3244200.0,-2574,-517,-16181,52,108,62
1775067141.7704058,3244200.0,-2576,-476,-16166,71,114,76
1775067141.7704058,3244200.0,-2573,-491,-16097,64,116,49
1775067141.7704058,3244200.0,-2593,-490,-16101,65,125,72
1775067141.7704058,3244200.0,-2592,-505,-16105,57,104,54
1775067141.7704058,3244200.0,-2622,-511,-16148,81,113,58
