Time Stamp,First Sample Time,Accel-x,Accel-y,Accel-z,Gyro-x,Gyro-y,Gyro-z,Effective Timestamp
1744579337.035975,345730.0,-1766,234,-16198,-5,36,-17,1744579335.4286945
1744579337.035975,345730.0,-1817,253,-16216,0,-18,-7,1744579335.4386945
1744579337.035975,345730.0,-1802,225,-16202,6,22,-25,1744579335.4486947
1744579337.035975,345730.0,-1838,197,-16198,-9,-36,-13,1744579335.4586947
1744579337.035975,345730.0,-1850,214,-16225,-12,31,-20,1744579335.468695
1744579337.035975,345730.0,-1835,233,-16205,-2,-24,-21,1744579335.478695
1744579337.035975,345730.0,-1857,231,-16224,7,15,5,1744579335.4886951
1744579337.035975,345730.0,-1794,250,-16206,3,13,-8,1744579335.4986951
1744579337.035975,345730.0,-1822,229,-16190,11,-34,7,1744579335.5086954
1744579337.035975,345730.0,-1797,228,-16204,-2,34,2,1744579335.5186954
1744579337.035975,345730.0,-1806,209,-16247,12,-48,-3,1744579335.5286956
1744579337.035975,345730.0,-1818,222,-16194,10,5,-7,1744579335.5386956
1744579337.035975,345730.0,-1788,217,-16186,1,-24,3,1744579335.5486958
1744579337.035975,345730.0,-1837,224,-16214,-10,-7,10,1744579335.5586958
1744579337.035975,345730.0,-1811,254,-16230,6,22,26,1744579335.568696
1744579337.035975,345730.0,-1826,221,-16197,5,-30,-1,1744579335.578696
1744579337.035975,345730.0,-1806,239,-16222,-2,9,9,1744579335.5886962
1744579337.035975,345730.0,-1810,229,-16212,10,-13,17,1744579335.5986962
1744579337.035975,345730.0,-1838,210,-16176,-5,-13,12,1744579335.6086965
1744579337.038827,345930.0,-1832,230,-16212,-3,17,-8,1744579335.6186965
1744579337.038827,345930.0,-1814,216,-16212,5,-10,3,1744579335.6286967
1744579337.038827,345930.0,-1783,223,-16226,-8,16,-23,1744579335.6386967
1744579337.038827,345930.0,-1842,217,-16210,25,-28,-19,1744579335.648697
1744579337.038827,345930.0,-1813,206,-16199,-9,7,-20,1744579335.658697
1744579337.038827,345930.0,-1819,224,-16181,3,-33,-18,1744579335.668697
1744579337.038827,345930.0,-1808,237,-16223,10,0,15,1744579335.678697
1744579337.038827,345930.0,-1807,222,-16212,-15,13,-12,1744579335.6886973
1744579337.038827,345930.0,-1814,239,-16206,-4,-13,-9,1744579335.6986973
1744579337.038827,345930.0,-1839,218,-16202,-4,12,-8,1744579335.7086976
1744579337.038827,345930.0,-1834,232,-16203,-16,-12,-2,1744579335.7186975
1744579337.038827,345930.0,-1806,233,-16215,-7,8,-18,1744579335.7286978
1744579337.038827,345930.0,-1790,246,-16197,7,6,-9,1744579335.7386978
1744579337.038827,345930.0,-1819,219,-16226,9,3,9,1744579335.748698
1744579337.038827,345930.0,-1794,240,-16199,12,13,-1,1744579335.758698
1744579337.038827,345930.0,-1826,223,-16198,7,-16,-8,1744579335.7686982
1744579337.038827,345930.0,-1814,223,-16195,-4,-1,-7,1744579335.7786982
1744579337.038827,345930.0,-1825,239,-16197,13,6,-14,1744579335.7886982
1744579337.038827,345930.0,-1792,233,-16207,-1,-6,1,1744579335.7986984
1744579337.038827,345930.0,-1811,231,-16201,6,14,-20,1744579335.8086984
1744579337.041425,346130.0,-1830,221,-16220,15,14,6,1744579335.8186986
1744579337.041425,346130.0,-1796,228,-16177,-8,-15,-4,1744579335.8286986
1744579337.041425,346130.0,-1802,215,-16230,10,13,11,1744579335.8386989
1744579337.041425,346130.0,-1802,237,-16195,-4,3,-4,1744579335.8486989
1744579337.041425,346130.0,-1810,224,-16193,-5,-3,3,1744579335.858699
1744579337.041425,346130.0,-1823,224,-16200,2,-5,-1,1744579335.868699
1744579337.041425,346130.0,-1810,238,-16176,18,-5,-18,1744579335.8786993
1744579337.041425,346130.0,-1811,229,-16185,11,-16,7,1744579335.8886993
1744579337.041425,346130.0,-1810,238,-16191,9,-9,-20,1744579335.8986995
1744579337.041425,346130.0,-1804,228,-16212,-2,1,-4,1744579335.9086995
1744579337.041425,346130.0,-1821,235,-16219,9,3,-10,1744579335.9186997
1744579337.041425,346130.0,-1779,214,-16213,-12,12,-14,1744579335.9286997
1744579337.041425,346130.0,-1797,236,-16208,8,-10,-7,1744579335.9387
1744579337.041425,346130.0,-1805,229,-16220,3,-7,-8,1744579335.9487
1744579337.041425,346130.0,-1830,237,-16210,-5,0,8,1744579335.9587002
1744579337.041425,346130.0,-1842,224,-16219,-4,6,-22,1744579335.9687002
1744579337.041425,346130.0,-1822,213,-16173,-1,10,10,1744579335.9787004
1744579337.041425,346130.0,-1818,236,-16099,17,30,-8,1744579335.9887004
1744579337.041425,346130.0,-1801,220,-16174,2,98,-6,1744579335.9987006
1744579337.041425,346130.0,-1780,207,-16192,21,74,11,1744579336.0087006
1744579337.044377,346330.0,-1786,208,-16222,13,101,-6,1744579336.0187008
1744579337.044377,346330.0,-1798,214,-16513,-19,33,-12,1744579336.0287008
1744579337.044377,346330.0,-1864,283,-16171,-3,-189,5,1744579336.038701
1744579337.044377,346330.0,-1888,277,-16065,-12,82,-5,1744579336.048701
1744579337.044377,346330.0,-1781,213,-16191,16,-7,-3,1744579336.0587013
1744579337.044377,346330.0,-1881,234,-16224,38,35,1,1744579336.0687013
1744579337.044377,346330.0,-1753,207,-16204,-6,69,-3,1744579336.0787015
1744579337.044377,346330.0,-1806,181,-16219,5,-15,-11,1744579336.0887015
1744579337.044377,346330.0,-1750,182,-16216,5,71,6,1744579336.0987017
1744579337.044377,346330.0,-1751,259,-16212,-11,-43,-1,1744579336.1087017
1744579337.044377,346330.0,-1852,231,-16221,-4,20,-19,1744579336.118702
1744579337.044377,346330.0,-1738,246,-16186,11,28,-1,1744579336.128702
1744579337.044377,346330.0,-1852,241,-16173,9,-21,-8,1744579336.138702
1744579337.044377,346330.0,-1841,227,-16225,-4,85,-2,1744579336.1487021
1744579337.044377,346330.0,-1817,226,-16204,23,-8,1,1744579336.1587021
1744579337.044377,346330.0,-1833,223,-16232,12,68,2,1744579336.1687024
1744579337.044377,346330.0,-1776,218,-16188,12,1,-11,1744579336.1787024
1744579337.044377,346330.0,-1786,209,-16237,8,13,6,1744579336.1887026
1744579337.044377,346330.0,-1760,217,-16234,15,4,-14,1744579336.1987026
1744579337.044377,346330.0,-1801,219,-16206,7,-47,-2,1744579336.2087028
