Time Stamp,First Sample Time,Accel-x,Accel-y,Accel-z,Gyro-x,Gyro-y,Gyro-z,Effective Timestamp
1774979006.614686,1057510.0,-1954,540,-16246,25,-3,0,1774979005.1945596
1774979006.614686,1057510.0,-1972,528,-16213,24,-13,13,1774979005.2045598
1774979006.614686,1057510.0,-1969,510,-16267,23,12,-1,1774979005.21456
1774979006.614686,1057510.0,-1959,549,-16248,14,12,-12,1774979005.2245603
1774979006.614686,1057510.0,-1969,519,-16221,-1,-13,-8,1774979005.2345605
1774979006.614686,1057510.0,-1939,517,-16248,7,-7,-12,1774979005.2445607
1774979006.614686,1057510.0,-1937,519,-16237,-2,-19,0,1774979005.254561
1774979006.614686,1057510.0,-1971,535,-16255,3,-7,-2,1774979005.2645612
1774979006.614686,1057510.0,-1969,522,-16225,20,-39,-11,1774979005.2745614
1774979006.614686,1057510.0,-1978,523,-16248,-1,-14,-23,1774979005.2845616
1774979006.614686,1057510.0,-1938,516,-16266,12,11,-2,1774979005.2945616
1774979006.614686,1057510.0,-1964,531,-16254,25,-12,12,1774979005.3045619
1774979006.614686,1057510.0,-1971,545,-16241,29,-17,-4,1774979005.314562
1774979006.614686,1057510.0,-1949,521,-16246,7,-5,-7,1774979005.3245623
1774979006.614686,1057510.0,-1965,549,-16244,26,0,-15,1774979005.3345625
1774979006.614686,1057510.0,-1956,534,-16285,16,-13,-22,1774979005.3445628
1774979006.614686,1057510.0,-1974,535,-16230,-1,7,20,1774979005.354563
1774979006.614686,1057510.0,-1967,513,-16222,-11,-6,-7,1774979005.3645632
1774979006.614686,1057510.0,-1975,523,-16209,-2,-21,-14,1774979005.3745635
1774979006.629911,1057710.0,-1974,538,-16265,0,-5,-11,1774979005.3845637
1774979006.629911,1057710.0,-1953,527,-16246,-3,-18,2,1774979005.394564
1774979006.629911,1057710.0,-1960,557,-16232,5,8,22,1774979005.4045641
1774979006.629911,1057710.0,-1962,541,-16235,5,-11,7,1774979005.4145644
1774979006.629911,1057710.0,-1960,533,-16246,9,5,-17,1774979005.4245646
1774979006.629911,1057710.0,-1965,534,-16227,4,-14,0,1774979005.4345648
1774979006.629911,1057710.0,-1981,529,-16227,-3,2,-11,1774979005.444565
1774979006.629911,1057710.0,-1965,525,-16233,3,-12,-7,1774979005.4545653
1774979006.629911,1057710.0,-1941,521,-16232,16,-17,-24,1774979005.4645655
1774979006.629911,1057710.0,-1965,547,-16248,-5,-2,-3,1774979005.4745655
1774979006.629911,1057710.0,-1969,540,-16228,3,3,-6,1774979005.4845657
1774979006.629911,1057710.0,-1959,522,-16270,-2,23,-26,1774979005.494566
1774979006.629911,1057710.0,-1978,534,-16255,7,-11,-4,1774979005.5045662
1774979006.629911,1057710.0,-1973,526,-16242,16,-13,4,1774979005.5145664
1774979006.629911,1057710.0,-1953,542,-16244,8,-3,-7,1774979005.5245667
1774979006.629911,1057710.0,-1972,523,-16250,23,-10,-12,1774979005.5345669
1774979006.629911,1057710.0,-1948,522,-16258,18,-4,-18,1774979005.544567
1774979006.629911,1057710.0,-1979,534,-16263,1,-14,2,1774979005.5545673
1774979006.629911,1057710.0,-1978,528,-16254,-11,-6,-7,1774979005.5645676
1774979006.629911,1057710.0,-1961,536,-16246,-9,-7,12,1774979005.5745678
1774979006.6308649,1057910.0,-1963,518,-16240,5,-11,-5,1774979005.584568
1774979006.6308649,1057910.0,-1949,554,-16222,-4,-4,10,1774979005.5945683
1774979006.6308649,1057910.0,-1947,538,-16231,-3,-3,6,1774979005.6045685
