Time Stamp,First Sample Time,Accel-x,Accel-y,Accel-z,Gyro-x,Gyro-y,Gyro-z
1774981908.063437,4060.0,-2973,1134,-16184,32514,-32768,-32768
1774981908.063437,4060.0,-2986,1138,-16138,32514,-32768,-32768
1774981908.063437,4060.0,-2991,1137,-16156,32514,-32768,-32768
1774981908.063437,4060.0,-2959,1143,-16156,17,108,-3
1774981908.063437,4060.0,-2976,1127,-16158,32,110,5
1774981908.063437,4060.0,-2953,1113,-16180,27,132,-5
1774981908.063437,4060.0,-2976,1119,-16210,27,106,-10
1774981908.063437,4060.0,-2973,1142,-16204,21,109,-2
1774981908.063437,4060.0,-2967,1136,-16209,14,106,-8
1774981908.063437,4060.0,-2970,1142,-16163,11,136,-31
1774981908.063437,4060.0,-2951,1139,-16182,21,122,4
1774981908.063437,4060.0,-2964,1154,-16206,7,100,29
1774981908.063437,4060.0,-2995,1175,-16131,15,94,-8
1774981908.063437,4060.0,-2957,1129,-16181,19,94,1
1774981908.063437,4060.0,-2977,1112,-16190,23,107,-1
1774981908.063437,4060.0,-2995,1141,-16208,19,98,1
1774981908.063437,4060.0,-2980,1131,-16194,9,147,-15
1774981908.063437,4060.0,-2967,1118,-16180,23,114,11
1774981908.063437,4060.0,-2957,1139,-16173,40,112,2
1774981908.063437,4060.0,-2987,1158,-16150,35,96,9
1774981908.0646248,4260.0,-2967,1131,-16149,16,150,0
1774981908.0646248,4260.0,-2971,1129,-16131,15,121,-21
1774981908.0646248,4260.0,-2980,1118,-16158,14,108,-12
1774981908.0646248,4260.0,-2962,1122,-16196,20,89,-7
1774981908.0646248,4260.0,-2921,1159,-16210,13,130,-16
1774981908.0646248,4260.0,-2952,1129,-16172,9,126,-4
1774981908.0646248,4260.0,-2972,1130,-16203,15,114,23
1774981908.0646248,4260.0,-2977,1097,-16144,28,135,-12
1774981908.0646248,4260.0,-2966,1116,-16154,23,128,-18
1774981908.0646248,4260.0,-2946,1129,-16127,27,87,-24
1774981908.0646248,4260.0,-2994,1125,-16191,24,102,-16
1774981908.0646248,4260.0,-2991,1131,-16206,0,134,10
1774981908.0646248,4260.0,-2976,1168,-16195,15,128,-11
1774981908.0646248,4260.0,-2983,1103,-16195,11,113,13
1774981908.0646248,4260.0,-2991,1162,-16188,11,94,-13
1774981908.0646248,4260.0,-3017,1098,-16233,28,122,-25
1774981908.0646248,4260.0,-2983,1130,-16142,15,125,5
1774981908.0646248,4260.0,-2987,1084,-16166,35,113,8
1774981908.0646248,4260.0,-2963,1129,-16127,22,121,-5
1774981908.0646248,4260.0,-2970,1113,-16191,20,117,23
1774981908.09318,4460.0,-2962,1135,-16156,33,100,-1
1774981908.09318,4460.0,-2960,1138,-16228,35,120,11
1774981908.09318,4460.0,-2980,1135,-16150,29,107,11
1774981908.09318,4460.0,-2992,1120,-16231,10,140,16
1774981908.09318,4460.0,-2968,1143,-16167,17,133,-18
1774981908.09318,4460.0,-2989,1127,-16151,23,127,-31
1774981908.09318,4460.0,-2973,1130,-16156,23,114,18
1774981908.09318,4460.0,-2966,1127,-16151,24,96,3
1774981908.09318,4460.0,-2943,1118,-16143,23,108,30
1774981908.09318,4460.0,-2953,1105,-16182,25,131,18
1774981908.09318,4460.0,-2975,1137,-16236,30,126,-17
