Time Stamp,First Sample Time,Accel-x,Accel-y,Accel-z,Gyro-x,Gyro-y,Gyro-z
1774981908.161043,5090.0,-2097,270,-15954,32514,-32768,-32768
1774981908.161043,5090.0,-2089,261,-16027,32514,-32768,-32768
1774981908.161043,5090.0,-2095,266,-15999,4,-13,-30
1774981908.161043,5090.0,-2095,258,-15998,19,-17,-43
1774981908.161043,5090.0,-2093,263,-15978,17,-16,-33
1774981908.161043,5090.0,-2074,283,-15979,13,17,-47
1774981908.161043,5090.0,-2076,280,-15974,-1,-3,-55
1774981908.161043,5090.0,-2091,276,-15940,6,0,-46
1774981908.161043,5090.0,-2076,278,-15966,24,-29,-56
1774981908.161043,5090.0,-2091,287,-16001,12,6,-53
1774981908.161043,5090.0,-2078,277,-16019,-4,-6,-41
1774981908.161043,5090.0,-2048,246,-16030,-17,-25,-49
1774981908.161043,5090.0,-2082,276,-16012,1,-10,-55
1774981908.161043,5090.0,-2105,262,-16070,5,-16,-35
1774981908.161043,5090.0,-2088,261,-15963,13,4,-29
1774981908.161043,5090.0,-2057,255,-15977,16,2,-48
1774981908.161043,5090.0,-2066,303,-15947,18,0,-49
1774981908.161043,5090.0,-2082,282,-15990,9,6,-54
1774981908.161043,5090.0,-2068,277,-15994,12,-1,-65
1774981908.161043,5090.0,-2097,265,-16006,-4,-10,-45
1774981908.162493,5290.0,-2083,289,-15966,21,-4,-48
1774981908.162493,5290.0,-2097,286,-16061,2,-26,-41
1774981908.162493,5290.0,-2095,267,-16014,-6,-7,-43
1774981908.162493,5290.0,-2078,266,-15964,10,-13,-56
1774981908.162493,5290.0,-2072,251,-15973,4,-16,-49
1774981908.162493,5290.0,-2071,267,-15969,20,-9,-52
1774981908.162493,5290.0,-2099,248,-15990,-9,-7,-56
1774981908.162493,5290.0,-2093,249,-15996,7,-30,-52
1774981908.162493,5290.0,-2101,258,-15997,20,21,-38
1774981908.162493,5290.0,-2094,258,-16026,21,5,-47
1774981908.162493,5290.0,-2084,276,-16018,2,21,-46
1774981908.162493,5290.0,-2060,275,-15987,8,6,-39
1774981908.162493,5290.0,-2077,277,-15990,14,9,-59
1774981908.162493,5290.0,-2076,296,-15959,17,-10,-24
1774981908.162493,5290.0,-2068,295,-15976,22,-4,-53
1774981908.162493,5290.0,-2048,251,-15962,25,19,-17
1774981908.162493,5290.0,-2076,260,-16012,2,-1,-64
1774981908.162493,5290.0,-2077,272,-16031,-10,-18,-55
1774981908.162493,5290.0,-2096,266,-16018,12,3,-26
