Time Stamp,First Sample Time,Accel-x,Accel-y,Accel-z,Gyro-x,Gyro-y,Gyro-z,Effective Timestamp
1744604694.52525,676490.0,-1528,268,-16247,13,26,-9,1744604692.9664006
1744604694.52525,676490.0,-1448,225,-16372,-2,-31,7,1744604692.9764009
1744604694.52525,676490.0,-1524,286,-16086,16,18,-4,1744604692.986401
1744604694.52525,676490.0,-1504,238,-16270,-17,3,3,1744604692.996401
1744604694.52525,676490.0,-1522,262,-16257,10,27,-9,1744604693.0064013
1744604694.52525,676490.0,-1518,252,-16221,5,-27,-6,1744604693.0164015
1744604694.52525,676490.0,-1450,223,-16233,-1,3,3,1744604693.0264018
1744604694.52525,676490.0,-1526,281,-16255,49,26,-2,1744604693.0364017
1744604694.52525,676490.0,-1463,211,-16169,-48,-76,6,1744604693.046402
1744604694.52525,676490.0,-1547,282,-16251,62,90,0,1744604693.0564022
1744604694.52525,676490.0,-1488,233,-16250,-55,-105,-29,1744604693.0664024
1744604694.52525,676490.0,-1531,271,-16208,84,80,-22,1744604693.0764027
1744604694.52525,676490.0,-1533,275,-16289,-51,-71,-3,1744604693.0864027
1744604694.52525,676490.0,-1471,229,-16188,30,30,-10,1744604693.096403
1744604694.52525,676490.0,-1578,285,-16269,-5,-14,-4,1744604693.106403
1744604694.52525,676490.0,-1449,177,-16201,-25,-37,-25,1744604693.1164033
1744604694.52525,676490.0,-1557,310,-16255,36,45,-11,1744604693.1264036
1744604694.52525,676490.0,-1467,229,-16201,-45,-70,-11,1744604693.1364036
1744604694.52525,676490.0,-1545,289,-16212,46,74,-5,1744604693.1464038
1744604694.527446,676690.0,-1519,250,-16287,-42,-65,18,1744604693.156404
1744604694.527446,676690.0,-1503,259,-16209,22,33,9,1744604693.1664042
1744604694.527446,676690.0,-1524,281,-16234,-9,-43,4,1744604693.1764042
1744604694.527446,676690.0,-1491,250,-16245,7,-5,8,1744604693.1864045
1744604694.527446,676690.0,-1528,274,-16220,14,-19,-1,1744604693.1964047
1744604694.527446,676690.0,-1479,240,-16259,-3,-17,-6,1744604693.206405
1744604694.527446,676690.0,-1523,291,-16226,20,-2,-3,1744604693.2164052
1744604694.527446,676690.0,-1498,242,-16266,12,-32,-10,1744604693.2264051
1744604694.527446,676690.0,-1524,241,-16248,40,7,6,1744604693.2364054
1744604694.527446,676690.0,-1506,246,-16274,8,-67,-21,1744604693.2464056
1744604694.527446,676690.0,-1518,278,-16240,5,-58,9,1744604693.2564058
1744604694.527446,676690.0,-1524,235,-16259,-2,-69,-6,1744604693.266406
1744604694.527446,676690.0,-1520,242,-16168,7,-36,-20,1744604693.276406
1744604694.527446,676690.0,-1546,272,-16129,-3,-27,-6,1744604693.2864063
1744604694.527446,676690.0,-1460,240,-16271,22,-10,-5,1744604693.2964065
1744604694.527446,676690.0,-1510,260,-16222,9,-54,-16,1744604693.3064067
1744604694.527446,676690.0,-1491,234,-16168,-17,-32,-14,1744604693.3164067
1744604694.527446,676690.0,-1538,263,-16260,2,4,-7,1744604693.326407
