Time Stamp,First Sample Time,Accel-x,Accel-y,Accel-z,Gyro-x,Gyro-y,Gyro-z
1775063789.1532779,3030.0,-1634,456,-16337,32514,-32768,-32768
1775063789.1532779,3030.0,-1638,430,-16343,32514,-32768,-32768
1775063789.1532779,3030.0,-1637,417,-16196,32514,-32768,-32768
1775063789.1532779,3030.0,-1588,397,-16251,13,23,-4
1775063789.1532779,3030.0,-1595,415,-16122,23,0,4
1775063789.1532779,3030.0,-1607,414,-16312,0,-16,-9
1775063789.1532779,3030.0,-1687,418,-16323,7,4,6
1775063789.1532779,3030.0,-1606,421,-16384,-11,1,-21
1775063789.1532779,3030.0,-1659,426,-16230,28,6,19
1775063789.1532779,3030.0,-1618,435,-16139,6,0,-10
1775063789.1532779,3030.0,-1686,448,-16147,37,34,1
1775063789.1532779,3030.0,-1614,430,-16550,-13,-57,-12
1775063789.1532779,3030.0,-1658,464,-16190,66,65,12
1775063789.1532779,3030.0,-1621,394,-16356,-36,-38,2
1775063789.1532779,3030.0,-1594,458,-16165,50,44,-10
1775063789.1532779,3030.0,-1621,443,-16180,-34,-62,1
1775063789.1532779,3030.0,-1657,428,-16361,58,52,-24
1775063789.1532779,3030.0,-1681,443,-16293,-35,-38,7
1775063789.1532779,3030.0,-1618,394,-16325,36,58,8
1775063789.1532779,3030.0,-1654,423,-16308,-29,-50,3
1775063789.1545742,3230.0,-1632,380,-16067,46,40,-1
1775063789.1545742,3230.0,-1622,427,-16345,-14,-15,2
1775063789.1545742,3230.0,-1593,433,-16218,28,27,1
1775063789.1545742,3230.0,-1652,443,-16196,-24,-35,-16
1775063789.1545742,3230.0,-1615,412,-16424,48,29,-13
1775063789.1545742,3230.0,-1709,434,-16042,-7,-14,-5
1775063789.1545742,3230.0,-1628,438,-16456,18,36,-14
1775063789.1545742,3230.0,-1667,460,-16226,28,-18,4
1775063789.1545742,3230.0,-1620,418,-16319,-8,2,15
1775063789.1545742,3230.0,-1653,422,-16441,33,14,-5
1775063789.1545742,3230.0,-1606,424,-15943,12,9,-2
1775063789.1545742,3230.0,-1603,446,-16403,7,5,3
1775063789.1545742,3230.0,-1643,440,-16261,13,-3,-13
1775063789.1545742,3230.0,-1661,417,-16232,26,6,12
1775063789.1545742,3230.0,-1627,418,-16385,17,-7,-11
1775063789.1545742,3230.0,-1668,419,-16175,-3,-26,8
1775063789.1545742,3230.0,-1649,442,-16263,15,9,2
1775063789.1545742,3230.0,-1631,446,-16324,33,1,7
1775063789.1545742,3230.0,-1617,400,-16232,7,9,-8
1775063789.1545742,3230.0,-1587,442,-16288,-12,33,-7
1775063789.157218,3430.0,-1601,450,-16241,29,-8,14
1775063789.157218,3430.0,-1630,454,-16236,-17,3,-12
1775063789.157218,3430.0,-1620,436,-16307,3,-6,-11
1775063789.157218,3430.0,-1671,463,-16293,19,0,-10
1775063789.157218,3430.0,-1638,440,-16273,10,20,-5
1775063789.157218,3430.0,-1623,444,-16244,21,3,3
1775063789.157218,3430.0,-1609,430,-16226,24,21,12
1775063789.157218,3430.0,-1634,454,-16294,12,9,5
1775063789.157218,3430.0,-1646,438,-16314,9,9,9
1775063789.157218,3430.0,-1630,417,-16285,19,27,1
1775063789.157218,3430.0,-1629,417,-16216,22,-16,6
1775063789.157218,3430.0,-1633,424,-16209,35,11,11
1775063789.157218,3430.0,-1676,431,-16282,27,-8,13
1775063789.157218,3430.0,-1646,440,-16323,23,3,1
1775063789.157218,3430.0,-1659,440,-16256,13,-5,-3
1775063789.157218,3430.0,-1657,454,-16226,9,18,0
1775063789.157218,3430.0,-1634,450,-16205,29,2,-8
1775063789.157218,3430.0,-1611,431,-16265,15,-12,3
1775063789.157218,3430.0,-1609,423,-16283,-9,15,-1
1775063789.157218,3430.0,-1640,449,-16290,23,13,8
1775063789.158387,3630.0,-1633,449,-16268,15,-13,-4
1775063789.158387,3630.0,-1604,433,-16238,7,8,2
1775063789.158387,3630.0,-1637,415,-16274,9,6,0
1775063789.158387,3630.0,-1632,425,-16303,-2,14,-14
1775063789.158387,3630.0,-1644,391,-16297,11,4,-1
1775063789.158387,3630.0,-1628,410,-16238,8,15,-8
1775063789.158387,3630.0,-1633,420,-16269,23,18,-6
1775063789.158387,3630.0,-1629,434,-16242,26,-21,25
1775063789.158387,3630.0,-1647,441,-16264,-7,22,2
1775063789.158387,3630.0,-1654,430,-16314,17,7,15
1775063789.158387,3630.0,-1623,446,-16260,2,0,10
1775063789.158387,3630.0,-1639,448,-16252,6,1,-14
1775063789.158387,3630.0,-1630,459,-16249,10,14,22
