Time Stamp,First Sample Time,Accel-x,Accel-y,Accel-z,Gyro-x,Gyro-y,Gyro-z
1775068796.462155,4686800.0,-2574,-273,-15981,120,55,34
1775068796.462155,4686800.0,-2638,-255,-16099,66,149,52
1775068796.462155,4686800.0,-2782,-347,-16251,45,149,47
1775068796.462155,4686800.0,-2872,-461,-16195,78,91,73
1775068796.462155,4686800.0,-2764,-493,-16017,76,55,73
1775068796.462155,4686800.0,-2660,-540,-16030,83,65,57
1775068796.462155,4686800.0,-2537,-562,-16128,53,123,44
1775068796.462155,4686800.0,-2466,-553,-16206,38,115,59
1775068796.462155,4686800.0,-2428,-533,-16263,69,120,58
1775068796.462155,4686800.0,-2384,-513,-16090,84,112,62
1775068796.462155,4686800.0,-2396,-494,-16036,97,106,59
1775068796.462155,4686800.0,-2469,-493,-16146,75,108,65
1775068796.462155,4686800.0,-2573,-512,-16251,85,138,54
1775068796.462155,4686800.0,-2703,-527,-16148,90,112,60
1775068796.462155,4686800.0,-2784,-480,-16038,76,102,63
1775068796.462155,4686800.0,-2810,-430,-16057,64,99,68
1775068796.462155,4686800.0,-2790,-367,-16115,71,127,56
1775068796.462155,4686800.0,-2731,-345,-16211,51,105,78
1775068796.462155,4686800.0,-2629,-342,-16179,62,106,65
1775068796.462155,4686800.0,-2551,-391,-16075,56,102,56
1775068796.462732,4687000.0,-2537,-453,-16082,78,95,58
1775068796.462732,4687000.0,-2507,-557,-16194,68,94,43
1775068796.462732,4687000.0,-2495,-619,-16229,83,117,61
1775068796.462732,4687000.0,-2483,-676,-16137,85,100,52
1775068796.462732,4687000.0,-2483,-661,-16097,77,112,53
1775068796.462732,4687000.0,-2488,-605,-16065,62,101,64
1775068796.462732,4687000.0,-2587,-468,-16142,71,126,41
1775068796.462732,4687000.0,-2628,-380,-16227,86,117,31
1775068796.462732,4687000.0,-2729,-319,-16165,82,110,66
1775068796.462732,4687000.0,-2707,-317,-16083,76,88,56
1775068796.462732,4687000.0,-2740,-359,-16049,95,88,74
1775068796.462732,4687000.0,-2738,-415,-16131,73,106,74
1775068796.462732,4687000.0,-2735,-441,-16201,79,101,54
1775068796.462732,4687000.0,-2689,-508,-16148,64,82,53
1775068796.462732,4687000.0,-2636,-567,-16099,61,109,67
1775068796.462732,4687000.0,-2500,-568,-16030,54,103,66
1775068796.462732,4687000.0,-2435,-559,-16141,70,122,53
1775068796.462732,4687000.0,-2400,-535,-16231,71,124,64
1775068796.462732,4687000.0,-2366,-516,-16092,99,95,54
1775068796.462732,4687000.0,-2330,-485,-16156,68,91,65
1775068796.46327,4687200.0,-2508,-499,-16122,58,180,60
1775068796.46327,4687200.0,-2639,-544,-16122,82,129,57
1775068796.46327,4687200.0,-2736,-506,-16148,106,116,75
1775068796.46327,4687200.0,-2789,-444,-16159,104,96,74
1775068796.46327,4687200.0,-2782,-394,-16118,84,115,58
1775068796.46327,4687200.0,-2804,-329,-15884,88,149,54
1775068796.46327,4687200.0,-2684,-347,-16149,91,229,51
1775068796.46327,4687200.0,-2727,-365,-16153,86,203,38
1775068796.46327,4687200.0,-2608,-420,-16153,72,120,58
1775068796.46327,4687200.0,-2522,-492,-16242,74,90,75
1775068796.46327,4687200.0,-2469,-570,-16166,54,78,61
1775068796.46327,4687200.0,-2444,-628,-16081,74,72,45
1775068796.46327,4687200.0,-2497,-642,-16173,59,61,57
1775068796.46327,4687200.0,-2538,-617,-16155,47,65,59
1775068796.46327,4687200.0,-2575,-534,-16101,61,26,61
1775068796.46327,4687200.0,-2619,-455,-16090,80,78,70
1775068796.46327,4687200.0,-2603,-416,-16132,74,80,58
1775068796.46327,4687200.0,-2710,-349,-16150,85,52,49
1775068796.46327,4687200.0,-2745,-315,-16035,82,65,48
1775068796.46327,4687200.0,-2653,-323,-16076,74,80,60
1775068796.464276,4687400.0,-2679,-404,-16102,70,141,65
1775068796.464276,4687400.0,-2676,-503,-16120,88,107,55
1775068796.464276,4687400.0,-2616,-546,-16220,68,109,57
1775068796.464276,4687400.0,-2530,-578,-16086,85,93,58
1775068796.464276,4687400.0,-2448,-599,-16083,99,108,49
1775068796.464276,4687400.0,-2423,-563,-16175,73,101,72
1775068796.464276,4687400.0,-2430,-533,-16207,76,115,47
1775068796.464276,4687400.0,-2484,-526,-16173,84,105,50
1775068796.464276,4687400.0,-2562,-497,-16125,97,111,62
1775068796.464276,4687400.0,-2646,-456,-16069,83,109,68
1775068796.464276,4687400.0,-2720,-447,-16091,91,101,49
1775068796.464276,4687400.0,-2804,-407,-16143,82,115,57
1775068796.464276,4687400.0,-2821,-391,-16168,69,112,75
1775068796.464276,4687400.0,-2744,-351,-16009,74,128,61
1775068796.464276,4687400.0,-2701,-372,-16058,75,117,61
1775068796.464276,4687400.0,-2619,-401,-16182,53,126,60
1775068796.464276,4687400.0,-2551,-447,-16162,59,110,61
1775068796.464276,4687400.0,-2511,-513,-16125,49,121,50
1775068796.464276,4687400.0,-2498,-580,-16098,92,93,53
1775068796.464276,4687400.0,-2477,-609,-16230,66,119,62
1775068796.4768069,4687600.0,-2470,-599,-16252,91,114,63
1775068796.4768069,4687600.0,-2508,-619,-16253,98,101,49
1775068796.4768069,4687600.0,-2499,-564,-16009,88,92,66
1775068796.4768069,4687600.0,-2602,-511,-15965,83,99,56
1775068796.4768069,4687600.0,-2664,-464,-16133,77,126,61
1775068796.4768069,4687600.0,-2721,-367,-16184,83,99,73
1775068796.4768069,4687600.0,-2712,-353,-16139,71,95,53
1775068796.4768069,4687600.0,-2718,-344,-16000,87,128,41
1775068796.4768069,4687600.0,-2705,-337,-16029,79,95,58
1775068796.4768069,4687600.0,-2691,-413,-16104,58,114,52
1775068796.4768069,4687600.0,-2671,-463,-16273,77,122,52
1775068796.4768069,4687600.0,-2602,-504,-16211,69,90,73
1775068796.4768069,4687600.0,-2488,-539,-16025,84,104,68
1775068796.4768069,4687600.0,-2451,-583,-15986,69,87,67
1775068796.4768069,4687600.0,-2485,-568,-16170,73,119,54
1775068796.4768069,4687600.0,-2512,-532,-16251,63,109,53
1775068796.4768069,4687600.0,-2544,-479,-16195,87,95,56
1775068796.4768069,4687600.0,-2575,-467,-16020,82,100,63
1775068796.4768069,4687600.0,-2605,-338,-15757,211,128,58
1775068796.4768069,4687600.0,-2568,-391,-16285,-21,105,78
1775068796.477818,4687800.0,-2769,-459,-16156,50,225,55
1775068796.477818,4687800.0,-2863,-546,-16145,92,49,53
1775068796.477818,4687800.0,-2758,-479,-16027,108,8,42
1775068796.477818,4687800.0,-2595,-397,-16073,99,24,63
1775068796.477818,4687800.0,-2538,-402,-16224,49,120,69
1775068796.477818,4687800.0,-2535,-439,-16186,26,146,70
1775068796.477818,4687800.0,-2550,-516,-16143,68,143,61
1775068796.477818,4687800.0,-2529,-539,-16060,57,108,44
1775068796.477818,4687800.0,-2539,-513,-16084,92,65,41
1775068796.477818,4687800.0,-2561,-502,-16197,99,79,54
1775068796.477818,4687800.0,-2575,-506,-16206,80,107,63
1775068796.477818,4687800.0,-2586,-484,-16092,75,143,68
1775068796.477818,4687800.0,-2648,-486,-16063,74,132,53
1775068796.477818,4687800.0,-2675,-443,-16103,63,123,53
1775068796.477818,4687800.0,-2669,-413,-16136,82,91,53
1775068796.477818,4687800.0,-2635,-427,-16160,76,100,63
1775068796.477818,4687800.0,-2657,-411,-16165,73,104,52
